Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %
"Basil, Italian",false,10 Lb Carton,G116,,4765871,112145,Paid,2025-02-14,Best Deal Brokerage,Alberto Tavares,01/20/2025,RATTO BROS INC,5794-BAS-1,#ALAHAR G116,PO #5794,01/20/2025,,,Best Deal Brokerage,49.00,24.00,28.00,1176.00,38.40,1372.00,157.60,11.49
"Basil, Italian",false,10 Lb Carton,G116,MX,4788920,112185,Paid,2025-03-04,Best Deal Brokerage,Alberto Tavares,01/27/2025,RATTO BROS INC,5823-BAS-1,#ALAHAR G116,PO #5823,01/27/2025,,,Best Deal Brokerage,172.00,24.00,28.00,4128.00,129.62,4816.00,558.38,11.59
"Basil, Italian",false,10 Lb Carton,G116,,4820585,112228,Paid,2025-02-26,Best Deal Brokerage,Alberto Tavares,02/03/2025,RATTO BROS INC,5867-BAS-1,#ALAHAR G116,PO #5867,02/03/2025,,,Best Deal Brokerage,233.00,40.00,42.50,9320.00,169.62,9902.50,412.88,4.17
"Basil, Italian",false,10 Lb Carton,G116,,4820585,112228,Paid,2025-02-26,Best Deal Brokerage,Alberto Tavares,02/03/2025,RATTO BROS INC,5867-BAS-2,#ALAHAR G116,PO #5867,02/03/2025,,,Best Deal Brokerage,98.00,37.50,42.50,3675.00,71.34,4165.00,418.66,10.05
"Basil, Italian",false,10 Lb Carton,G116,,4842870,112283,Paid,2025-03-06,Best Deal Brokerage,Denisse Tavares,02/10/2025,RATTO BROS INC,5918-BAS-1,#ALAHAR G116,PO #5918,,,,Best Deal Brokerage,392.00,35.00,40.00,13720.00,280.00,15680.00,1680.00,10.71
"Basil, Italian",false,10 Lb Carton,G116,,4867786,112321,Paid,2025-03-18,Best Deal Brokerage,Denisse Tavares,02/18/2025,RATTO BROS INC,5958-BAS-1,#ALAHAR G116,PO #5958,02/18/2025,,,Best Deal Brokerage,196.00,35.00,40.00,6860.00,140.00,7840.00,840.00,10.71
"Basil, Italian",false,10 Lb Carton,G116,,4898305,112361,Paid,2025-03-26,Best Deal Brokerage,Denisse Tavares,02/24/2025,RATTO BROS INC,6007-BAS-1,#ALAHAR G116,PO #6007,02/24/2025,,,Best Deal Brokerage,196.00,35.00,40.00,6860.00,135.69,7840.00,844.31,10.77
"Basil, Italian",false,10 Lb Carton,G116,,4898305,112361,Paid,2025-03-26,Best Deal Brokerage,Denisse Tavares,02/24/2025,RATTO BROS INC,6007-BAS-2,#ALAHAR G116,PO #6007,02/24/2025,,,Best Deal Brokerage,112.00,24.00,28.00,2688.00,77.54,3136.00,370.46,11.81
"Basil, Italian",false,10 Lb Carton,G116,,4928441,112408,Paid,2025-04-14,Best Deal Brokerage,Denisse Tavares,03/03/2025,RATTO BROS INC,6051-BAS-2,#ALAHAR G116,PO #6051,03/03/2025,,,Best Deal Brokerage,225.00,35.00,40.00,7875.00,169.36,9000.00,955.64,10.62
"Basil, Italian",false,10 Lb Carton,G116,,4934172,112419,Paid,2025-04-02,Bodega Maneadero,Gerardo Zuniga,03/03/2025,(R) C AZUCENA,6061-BAS-1,#ALAHAR G116,PO #6061,03/03/2025,,,Bodega Maneadero,25.00,35.00,38.00,875.00,0.00,950.00,75.00,7.89
"Basil, Italian",false,10 Lb Carton,G116,,4953456,112458,Paid,2025-04-03,Best Deal Brokerage,Denisse Tavares,03/10/2025,RATTO BROS INC,6094-BAS-1,#ALAHAR G116,PO #6094,03/10/2025,,,Best Deal Brokerage,294.00,35.00,40.00,10290.00,210.00,11760.00,1260.00,10.71
"Basil, Italian",false,10 Lb Carton,G116,,4958244,112461,Paid,2025-03-10,Nature's Produce,Gerardo Zuniga,03/10/2025,(R) C AZUCENA,6098-BAS-1,#ALAHAR G116,PO #6098,03/10/2025,,,Nature's Produce,70.00,35.00,38.90,2450.00,0.00,2723.00,273.00,10.03
"Basil, Italian",false,10 Lb Carton,G116,,4958276,112462,Paid,2025-04-09,Sunrise Produce,Gerardo Zuniga,03/10/2025,LOEWY ENTERPRISES LLC (DBA SUNRISE PRODUCE),6099-BAS-1,#ALAHAR G116,PO #6099,03/10/2025,,,Sunrise Produce,20.00,35.00,40.00,700.00,0.00,800.00,100.00,12.50
"Basil, Italian",false,10 Lb Carton,G116,,4972189,112480,Used,2025-03-10,Nature's Produce,Emiliano Salcido,03/10/2025,(R) C AZUCENA,6098-BAS-1,#ALAHAR G116,PO #6098,03/10/2025,,,Nature's Produce,-70.00,35.00,38.90,-2450.00,0.00,-2723.00,-273.00,-10.03
"Basil, Italian",false,10 Lb Carton,G116,,4972813,112483,Used,2025-03-10,Sunrise Produce,Gerardo Zuniga,03/10/2025,LOEWY ENTERPRISES LLC (DBA SUNRISE PRODUCE),6099-BAS-1,#ALAHAR G116,PO #6099,03/10/2025,,,Sunrise Produce,-20.00,35.00,40.00,-700.00,0.00,-800.00,-100.00,-12.50
"Basil, Italian",false,10 Lb Carton,G116,,4987920,112506,Paid,2025-04-14,Best Deal Brokerage,Denisse Tavares,03/17/2025,RATTO BROS INC,6146-BAS-1,#ALAHAR G116,PO #6146,03/17/2025,,,Best Deal Brokerage,196.00,35.00,40.00,6860.00,152.93,7840.00,827.07,10.55
"Basil, Italian",false,10 Lb Carton,G116,,4988634,112512,Used,2025-03-10,Best Deal Brokerage,Denisse Tavares,03/10/2025,RATTO BROS INC,6094-BAS-1,#ALAHAR G116,PO #6094,03/10/2025,,,Best Deal Brokerage,-87.00,35.00,40.00,-3045.00,-62.14,-3480.00,-372.86,-10.71
"Basil, Italian",false,10 Lb Carton,G116,,4993777,112514,Used,2025-03-03,Best Deal Brokerage,Denisse Tavares,03/03/2025,RATTO BROS INC,6051-BAS-2,#ALAHAR G116,PO #6051,03/03/2025,,,Best Deal Brokerage,-86.00,35.00,40.00,-3010.00,-64.73,-3440.00,-365.27,-10.62
"Basil, Italian",false,10 Lb Carton,G116,,4994055,112518,Paid,2025-04-11,Nature's Produce,Gerardo Zuniga,03/17/2025,(R) C AZUCENA,6174-BAS-1,#ALAHAR G116,PO #6174,03/17/2025,,,Nature's Produce,25.00,35.00,38.00,875.00,0.00,950.00,75.00,7.89
"Basil, Italian",false,10 Lb Carton,G116,,5017532,112547,Paid,2025-04-14,Best Deal Brokerage,Denisse Tavares,03/24/2025,RATTO BROS INC,6199-BAS-1,#ALAHAR G116,PO #6199,03/24/2025,,,Best Deal Brokerage,196.00,35.00,40.00,6860.00,140.00,7840.00,840.00,10.71
"Basil, Italian",false,10 Lb Carton,G116,,5023553,112558,Paid,2025-05-12,Nature's Produce,Gerardo Zuniga,03/24/2025,(R) C AZUCENA,6214-BAS-1,#ALAHAR G116,PO #6214,03/24/2025,,,Nature's Produce,30.00,35.00,38.00,1050.00,0.00,1140.00,90.00,7.89
"Basil, Italian",false,10 Lb Carton,G116,,5023598,112560,Paid,2025-04-29,Sunrise Produce,Gerardo Zuniga,03/24/2025,LOEWY ENTERPRISES LLC (DBA SUNRISE PRODUCE),6216-BAS-1,#ALAHAR G116,PO #6216,03/24/2025,,,Sunrise Produce,15.00,35.00,40.00,525.00,0.00,600.00,75.00,12.50
"Basil, Italian",false,10 Lb Carton,G116,,5041496,112588,Used,2025-03-24,Sunrise Produce,Gerardo Zuniga,03/24/2025,LOEWY ENTERPRISES LLC (DBA SUNRISE PRODUCE),6216-BAS-1,#ALAHAR G116,PO #6216,03/24/2025,,,Sunrise Produce,-9.00,35.00,40.00,-315.00,0.00,-360.00,-45.00,-12.50
"Basil, Italian",false,10 Lb Carton,G116,,5042629,112590,Used,2025-03-24,Best Deal Brokerage,Denisse Tavares,03/24/2025,RATTO BROS INC,6199-BAS-1,#ALAHAR G116,PO #6199,03/24/2025,,,Best Deal Brokerage,-152.00,35.00,40.00,-5320.00,-108.57,-6080.00,-651.43,-10.71
"Basil, Italian",false,10 Lb Carton,G116,,5046854,112596,Paid,2025-04-24,Best Deal Brokerage,Denisse Tavares,03/31/2025,RATTO BROS INC,6257-BAS-1,#ALAHAR G116,PO #6257,03/31/2025,,,Direct Shipment,145.00,35.00,40.00,5075.00,103.57,5800.00,621.43,10.71
"Basil, Italian",false,10 Lb Carton,G116,,5052900,112604,Paid,2025-05-08,Nature's Produce,Gerardo Zuniga,03/31/2025,(R) C AZUCENA,6266-BAS-1,#ALAHAR G116,PO #6266,,,,Nature's Produce,30.00,35.00,38.00,1050.00,0.00,1140.00,90.00,7.89
"Basil, Italian",false,10 Lb Carton,G116,,5052910,112605,Paid,2025-04-29,Sunrise Produce,Gerardo Zuniga,03/31/2025,LOEWY ENTERPRISES LLC (DBA SUNRISE PRODUCE),6268-BAS-1,#ALAHAR G116,PO #6268,03/31/2025,,,Sunrise Produce,10.00,35.00,40.00,350.00,0.00,400.00,50.00,12.50
"Basil, Italian",false,10 Lb Carton,G116,,5061799,112618,Paid,2025-05-06,Mando's Trucking,Enrique Vazquez,04/04/2025,RATTO BROS INC,6285-BAS-1,#ALAHAR G116,PO #6285,04/05/2025,,,Mando's Trucking,150.00,35.00,40.00,5250.00,0.00,6000.00,750.00,12.50
"Basil, Italian",false,10 Lb Carton,G116,,5075907,112648,Paid,2025-05-06,Best Deal Brokerage,Enrique Vazquez,04/07/2025,RATTO BROS INC,6308-BAS-1,#ALAHAR G116,PO #6308,04/07/2025,,,Best Deal Brokerage,300.00,35.00,40.00,10500.00,210.00,12000.00,1290.00,10.75
"Basil, Italian",false,10 Lb Carton,G116,,5107669,112693,Paid,2025-05-09,Best Deal Brokerage,Enrique Vazquez,04/14/2025,RATTO BROS INC,6365-BAS-1,#ALAHAR G116,PO #6365,04/14/2025,,,Best Deal Brokerage,100.00,32.50,35.00,3250.00,70.00,3500.00,180.00,5.14
"Basil, Italian",false,10 Lb Carton,G116,,5159186,112779,Partially paid,2025-05-29,Mando's Trucking,Enrique Vazquez,04/25/2025,RATTO BROS INC,6475-BAS-1,#ALAHAR G116,PO #6475,04/29/2025,,,Mando's Trucking,49.00,32.50,35.00,1592.50,0.00,1715.00,122.50,7.14
"Basil, Italian",false,10 Lb Carton,G116,,5165013,112804,Paid,2025-05-29,Best Deal Brokerage,Enrique Vazquez,04/28/2025,RATTO BROS INC,6489-BAS-1,#ALAHAR G116,PO #6489,04/29/2025,,,Best Deal Brokerage,200.00,32.50,35.00,6500.00,140.00,7000.00,360.00,5.14
"Basil, Italian",false,10 Lb Carton,G116,,5195311,112847,Unpaid,,Mando's Trucking,Enrique Vazquez,05/05/2025,RATTO BROS INC,6569-BAS-1,#ALAHAR G116,PO #6569,05/09/2025,,,Mando's Trucking,100.00,24.00,28.00,2400.00,0.00,2800.00,400.00,14.29
"Basil, Italian",false,10 Lb Carton,G116,,5231995,112903,Unpaid,,Mando's Trucking,Enrique Vazquez,05/12/2025,RATTO BROS INC,6621-BAS-1,#ALAHAR G116,PO #6621,05/14/2025,,,Mando's Trucking,50.00,24.00,28.00,1200.00,0.00,1400.00,200.00,14.29
"Basil, Italian",false,10 Lb Carton,G116,,5269710,112955,Unpaid,,Mando's Trucking,Enrique Vazquez,05/27/2025,RATTO BROS INC,6734-BAS-1,#ALAHAR G116,PO #6734,05/27/2025,,,Mando's Trucking,50.00,24.00,28.00,1200.00,0.00,1400.00,200.00,14.29
"Basil, Italian",false,10 Lb Carton,G124,,5165013,112804,Paid,2025-05-29,Best Deal Brokerage,Enrique Vazquez,04/28/2025,RATTO BROS INC,6513-BAS-1,#ARGOSA G124,PO #6513,04/29/2025,,,Best Deal Brokerage,35.00,28.00,35.00,980.00,50.31,1225.00,194.69,15.89
"Basil, Italian",false,10 Lb Carton,G124,,5195311,112847,Unpaid,,Mando's Trucking,Enrique Vazquez,05/05/2025,RATTO BROS INC,6561-BAS-1,#ARGOSA G124,PO #6561,05/09/2025,,,Mando's Trucking,56.00,21.00,28.00,1176.00,80.00,1568.00,312.00,19.90
"Basil, Italian",false,10 Lb Carton,G124,,5231995,112903,Unpaid,,Mando's Trucking,Enrique Vazquez,05/12/2025,RATTO BROS INC,6622-BAS-1,#ARGOSA G124,PO #6622,05/14/2025,,,Mando's Trucking,56.00,20.00,28.00,1120.00,80.00,1568.00,368.00,23.47
"Basil, Italian",false,10 Lb Carton,G124,,5269710,112955,Unpaid,,Mando's Trucking,Enrique Vazquez,05/27/2025,RATTO BROS INC,6711-BAS-2,#ARGOSA G124,PO #6711,05/28/2025,,,Mando's Trucking,56.00,20.00,28.00,1120.00,80.00,1568.00,368.00,23.47
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4710962,112038,Paid,2025-01-13,Dynasty Fresh,Alma Hinojos,01/06/2025,DYNASTY FRESH INTERNATIONAL,5675-BAS-1,#AGRPCS G115,PO #5675,01/06/2025,,,Dynasty Fresh,20.00,30.00,32.50,600.00,0.00,650.00,50.00,7.69
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4718902,112054,Paid,2025-01-13,Dynasty Fresh,Alma Hinojos,01/08/2025,DYNASTY FRESH INTERNATIONAL,5694-BAS-1,#AGRPCS G115,PO #5694,01/08/2025,,,Dynasty Fresh,29.00,30.00,32.50,870.00,0.00,942.50,72.50,7.69
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4724109,112065,Used,2025-01-06,Dynasty Fresh,Alma Hinojos,01/06/2025,DYNASTY FRESH INTERNATIONAL,5675-BAS-1,#AGRPCS G115,PO #5675,01/06/2025,,,Dynasty Fresh,-20.00,30.00,32.50,-600.00,0.00,-650.00,-50.00,-7.69
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4739023,112110,Paid,2025-01-27,Dynasty Fresh,Alma Hinojos,01/13/2025,DYNASTY FRESH INTERNATIONAL,5743-BAS-1,#AGRPCS G115,PO #5743,01/13/2025,,,Dynasty Fresh,31.00,30.00,32.50,930.00,0.00,1007.50,77.50,7.69
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4747646,112122,Paid,2025-01-27,Dynasty Fresh,Alma Hinojos,01/16/2025,DYNASTY FRESH INTERNATIONAL,5759-BAS-1,#AGRPCS G115,PO #5759,01/16/2025,,,Dynasty Fresh,20.00,30.00,32.50,600.00,0.00,650.00,50.00,7.69
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,4751525,112127,Paid,2025-02-18,California Specialty,Alberto Tavares,01/16/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",5764-BAS-1,#AGRPCS G115,PO #5764,01/16/2025,,,California Specialty,17.00,33.50,40.00,569.50,0.00,680.00,110.50,16.25
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,4756976,112139,Paid,2025-03-26,Direct Shipment,Alberto Tavares,01/20/2025,"*FULL HARVEST (FULL HARVEST TECHNOLOGIES, INC)",5778-BAS-1,#AGRPCS G115,PO #5778,01/20/2025,,,Direct Shipment,106.00,33.50,37.50,3551.00,0.00,3975.00,424.00,10.67
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,4783665,112182,Used,2025-01-22,Direct Shipment,Alberto Tavares,01/20/2025,"*FULL HARVEST (FULL HARVEST TECHNOLOGIES, INC)",5778-BAS-1,#AGRPCS G115,PO #5778,01/20/2025,,,Direct Shipment,-106.00,33.50,37.50,-3551.00,0.00,-3975.00,-424.00,-10.67
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4794079,112189,Paid,2025-02-10,Dynasty Fresh,Alma Hinojos,01/27/2025,DYNASTY FRESH INTERNATIONAL,5828-BAS-1,#AGRPCS G115,PO #5828,01/27/2025,,,Dynasty Fresh,50.00,30.00,32.50,1500.00,0.00,1625.00,125.00,7.69
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4794384,112198,Paid,2025-02-14,Direct Shipment,Alma Hinojos,01/27/2025,YUMA ORGANICS,5837-BAS-1,#AGRPCS G115,PO #5837,01/27/2025,,,Direct Shipment,30.00,32.00,35.00,960.00,0.00,1050.00,90.00,8.57
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4821517,112233,Paid,2025-02-10,Dynasty Fresh,Alma Hinojos,02/03/2025,DYNASTY FRESH INTERNATIONAL,5865-BAS-1,#AGRPCS G115,PO #5865,02/03/2025,,,Dynasty Fresh,30.00,35.00,37.50,1050.00,0.00,1125.00,75.00,6.67
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,4844246,112285,Paid,2025-04-03,Navarro's Trucking,Enrique Vazquez,02/10/2025,"PRESSED JUICERY, INC.",5920-BAS-1,#AGRPCS G115,PO #5920,02/14/2025,,,Navarro's Trucking,10.00,27.50,29.50,275.00,0.00,295.00,20.00,6.78
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,4867517,112320,Paid,2025-02-24,Dynasty Fresh,Alma Hinojos,02/14/2025,DYNASTY FRESH INTERNATIONAL,5957-BAS-1,#AGRPCS G115,PO #5957,02/14/2025,,,Dynasty Fresh,16.00,36.00,37.50,576.00,0.00,600.00,24.00,4.00
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5038046,112583,Paid,2025-04-21,Redmond Logistics,Enrique Vazquez,03/26/2025,"COOKS COMPANY PRODUCE, INC",6238-BAS-1,#AGRPCS G115,PO #6238,03/28/2025,,,Redmond Logistics,5.00,20.00,20.00,100.00,0.00,100.00,0.00,0.00
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5063097,112622,Paid,2025-04-28,Redmond Logistics,Enrique Vazquez,04/02/2025,"COOKS COMPANY PRODUCE, INC",6288-BAS-1,#AGRPCS G115,PO #6288,04/04/2025,,,Redmond Logistics,5.00,20.00,20.00,100.00,0.00,100.00,0.00,0.00
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5082761,112658,Paid,2025-04-21,Dynasty Fresh,Alma Hinojos,04/07/2025,DYNASTY FRESH INTERNATIONAL,6321-BAS-1,#AGRPCS G115,PO #6321,,,,Dynasty Fresh,25.00,32.50,37.50,812.50,0.00,937.50,125.00,13.33
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5082897,112661,Paid,2025-05-12,California Specialty,Alma Hinojos,04/07/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6326-BAS-1,#AGRPCS G115,PO #6326,04/07/2025,,,California Specialty,25.00,37.50,42.50,937.50,0.00,1062.50,125.00,11.76
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5083118,112666,Paid,2025-05-20,Navarro's Trucking,Enrique Vazquez,04/07/2025,"PRESSED JUICERY, INC.",6331-BAS-1,#AGRPCS G115,PO #6331,04/08/2025,,,Bodega Maneadero,10.00,25.00,29.50,250.00,0.00,295.00,45.00,15.25
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5092247,112680,Paid,2025-05-23,Redmond Logistics,Enrique Vazquez,04/10/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6350-BAS-1,#AGRPCS G115,PO #6350,04/11/2025,,,Redmond Logistics,36.00,32.50,35.00,1170.00,0.00,1260.00,90.00,7.14
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5109280,112701,Paid,2025-05-09,Redmond Logistics,Enrique Vazquez,04/14/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6389-BAS-1,#AGRPCS G115,PO #6389,04/16/2025,,,Redmond Logistics,30.00,30.00,35.00,900.00,0.00,1050.00,150.00,14.29
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5114526,112705,Paid,2025-04-21,Dynasty Fresh,Alma Hinojos,04/14/2025,DYNASTY FRESH INTERNATIONAL,6379-BAS-1,#AGRPCS G115,PO #6379,04/14/2025,,,Dynasty Fresh,50.00,32.50,37.50,1625.00,0.00,1875.00,250.00,13.33
"Basil, Italian",true,10X1 Lb Bag Carton,G115,MX,5114564,112706,Paid,2025-05-19,California Specialty,Alma Hinojos,04/14/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6380-BAS-1,#AGRPCS G115,PO #6380,04/14/2025,,,California Specialty,30.00,37.50,42.50,1125.00,0.00,1275.00,150.00,11.76
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5114943,112711,Paid,2025-05-27,Sunny Specialty,Gerardo Zuniga,04/14/2025,SUNNY SPECIALTY PRODUCE INC,6388-BAS-1,#AGRPCS G115,PO #6388,04/14/2025,,,Sunny Specialty,16.00,32.50,35.00,520.00,0.00,560.00,40.00,7.14
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5114982,112712,Unpaid,,Navarro's Trucking,Enrique Vazquez,04/14/2025,"PRESSED JUICERY, INC.",6390-BAS-1,#AGRPCS G115,PO #6390,04/16/2025,,,Navarro's Trucking,10.00,27.50,29.50,275.00,0.00,295.00,20.00,6.78
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5124106,112727,Paid,2025-05-12,Redmond Logistics,Enrique Vazquez,04/16/2025,"COOKS COMPANY PRODUCE, INC",6406-BAS-1,#AGRPCS G115,PO #6406,04/16/2025,,,Redmond Logistics,15.00,20.00,20.00,300.00,0.00,300.00,0.00,0.00
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5130062,112739,Paid,2025-05-23,Redmond Logistics,Enrique Vazquez,04/17/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6415-BAS-1,#AGRPCS G115,PO #6415,04/17/2025,,,Redmond Logistics,30.00,35.00,37.50,1050.00,0.00,1125.00,75.00,6.67
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5140746,112758,Paid,2025-05-27,California Specialty,Alma Hinojos,04/21/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6435-BAS-2,#AGRPCS G115,PO #6435,04/21/2025,,,California Specialty,35.00,37.50,42.50,1312.50,0.00,1487.50,175.00,11.76
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5140815,112761,Paid,2025-05-05,Dynasty Fresh,Alma Hinojos,04/21/2025,DYNASTY FRESH INTERNATIONAL,6438-BAS-1,#AGRPCS G115,PO #6438,04/21/2025,,,Dynasty Fresh,35.00,32.50,37.50,1137.50,0.00,1312.50,175.00,13.33
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5146364,112763,Unpaid,,Navarro's Trucking,Enrique Vazquez,04/21/2025,"PRESSED JUICERY, INC.",6440-BAS-1,#AGRPCS G115,PO #6440,04/22/2025,,,Navarro's Trucking,15.00,30.00,29.50,450.00,0.00,442.50,-7.50,-1.69
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5148917,112765,Paid,2025-05-23,Redmond Logistics,Enrique Vazquez,04/21/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6446-BAS-1,#AGRPCS G115,PO #6446,04/23/2025,,,Redmond Logistics,30.00,35.00,37.50,1050.00,0.00,1125.00,75.00,6.67
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5152627,112770,Unpaid,,California Specialty,Alma Hinojos,04/28/2025,"CALALU, LLC (DBA CALIFORNIA SPECIALTY FARMS)",6493-BAS-1,#AGRPCS G115,PO #6493,04/28/2025,,,California Specialty,34.00,37.50,42.50,1275.00,0.00,1445.00,170.00,11.76
"Basil, Italian",true,10X1 Lb Bag Carton,G115,,5171003,112807,Paid,2025-05-05,Dynasty Fresh,Alma Hinojos,04/28/2025,DYNASTY FRESH INTERNATIONAL,6492-BAS-1,#AGRPCS G115,PO #6492,04/28/2025,,,Dynasty Fresh,35.00,32.50,37.50,1137.50,0.00,1312.50,175.00,13.33
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5177014,112822,Unpaid,,Redmond Logistics,Enrique Vazquez,04/28/2025,"BAY AREA HERBS & SPECIALTIES, LLC",6515-BAS-1,#AGRPCS G115,PO #6515,04/29/2025,,,Redmond Logistics,11.00,27.50,37.50,302.50,0.00,412.50,110.00,26.67
"Basil, Italian",false,10X1 Lb Bag Carton,G115,,5177018,112823,Unpaid,,Navarro's Trucking,Enrique Vazquez,04/28/2025,"PRESSED JUICERY, INC.",6511-BAS-1,#ARGOSA G124,PO #6511,04/29/2025,,,Navarro's Trucking,15.00,28.00,29.50,420.00,25.00,442.50,-2.50,-0.56
